Circle Number: 146682
------------------------------------------------------------
Angular: 220.62047094106674, First Return Dist: 12464272, First Return Amp: 5000, x: -9460.865398680759, y: -8114.807600801711
Angular: 224.211650788784, First Return Dist: 12464272, First Return Amp: 5000, x: -8934.001633979555, y: -8691.472331776396
Angular: 227.8028306365013, First Return Dist: 12464272, First Return Amp: 5000, x: -8372.05194750013, y: -9234.003610479223
Angular: 231.39401048421863, First Return Dist: 12464272, First Return Amp: 5000, x: -7777.223247585568, y: -9740.270789213131
Angular: 234.98519033193588, First Return Dist: 12464272, First Return Amp: 5000, x: -7151.851566183451, y: -10208.285637915082
Angular: 238.57637017965317, First Return Dist: 12464272, First Return Amp: 5000, x: -6498.392884699954, y: -10636.210152402266
Angular: 242.16755002737045, First Return Dist: 12464272, First Return Amp: 5000, x: -5819.413488784359, y: -11022.363772645986
Angular: 245.75872987508774, First Return Dist: 12464272, First Return Amp: 5000, x: -5117.579889922794, y: -11365.229982725463
Angular: 249.34990972280502, First Return Dist: 12464272, First Return Amp: 5000, x: -4395.64835342165, y: -11663.46226654185
Angular: 252.9410895705223, First Return Dist: 12464272, First Return Amp: 5000, x: -3656.4540739066683, y: -11915.889395903076
Angular: 256.5322694182396, First Return Dist: 12464272, First Return Amp: 5000, x: -2902.900040848001, y: -12121.520030211914
Angular: 260.1234492659569, First Return Dist: 12464272, First Return Amp: 5000, x: -2137.9456378391205, y: -12279.546609693238
Angular: 263.71462911367416, First Return Dist: 12464272, First Return Amp: 5000, x: -1364.5950204026526, y: -12389.348526870825
Angular: 267.30580896139145, First Return Dist: 12464272, First Return Amp: 5000, x: -585.8853179664027, y: -12450.494563838636
Angular: 270.89698880910873, First Return Dist: 12464272, First Return Amp: 5000, x: 195.12529365695693, y: -12462.744585754746
Angular: 274.488168656826, First Return Dist: 12464272, First Return Amp: 5000, x: 975.3696024441764, y: -12426.050483907262
Angular: 278.0793485045433, First Return Dist: 12464272, First Return Amp: 5000, x: 1751.7834058231529, y: -12340.556364648502
Angular: 281.6705283522606, First Return Dist: 12464272, First Return Amp: 5000, x: 2521.317544515779, y: -12206.597983455542
Angular: 285.2617081999779, First Return Dist: 12464272, First Return Amp: 5000, x: 3280.9498773022397, y: -12024.701426339634
Angular: 288.85288804769516, First Return Dist: 12464272, First Return Amp: 5000, x: 4027.6971496791134, y: -11795.581043782911
Angular: 292.44406789541245, First Return Dist: 12464272, First Return Amp: 5000, x: 4758.626709800091, y: -11520.136645316372
Angular: 296.03524774312973, First Return Dist: 12464272, First Return Amp: 5000, x: 5470.868025688298, y: -11199.449965756596
Angular: 299.626427590847, First Return Dist: 12464272, First Return Amp: 5000, x: 6161.623958489246, y: -10834.780416979169
Angular: 303.2176074385643, First Return Dist: 12464272, First Return Amp: 5000, x: 6828.181747491766, y: -10427.560141912598
Angular: 306.8087872862816, First Return Dist: 12464272, First Return Amp: 5000, x: 7467.923663776213, y: -9979.38839017679
Angular: 310.39996713399887, First Return Dist: 12464272, First Return Amp: 5000, x: 8078.337290650414, y: -9492.025237454383
Angular: 313.99114698171616, First Return Dist: 12464272, First Return Amp: 5000, x: 8657.025390499883, y: -8967.384673260334
Angular: 317.58232682943344, First Return Dist: 12464272, First Return Amp: 5000, x: 9201.715319302692, y: -8407.52708425576
Angular: 321.1735066771507, First Return Dist: 12464272, First Return Amp: 5000, x: 9710.267951836102, y: -7814.651162625798
Angular: 324.764686524868, First Return Dist: 12464272, First Return Amp: 5000, x: 10180.686082523456, y: -7191.085271299264
