Circle Number: 108070
------------------------------------------------------------
Angular: 161.34201437234879, First Return Dist: 7406704, First Return Amp: 5000, x: -7017.445597729015, y: 2369.540340768577
Angular: 164.93319422006607, First Return Dist: 7406704, First Return Amp: 5000, x: -7152.086637959139, y: 1925.3365593428987
Angular: 168.52437406778336, First Return Dist: 7406704, First Return Amp: 5000, x: -7258.6397549258445, y: 1473.5715292533575
Angular: 172.11555391550064, First Return Dist: 7406704, First Return Amp: 5000, x: -7336.686489524211, y: 1016.0194378302567
Angular: 175.70673376321793, First Return Dist: 7406704, First Return Amp: 5000, x: -7385.920333905086, y: 554.4771995523236
Angular: 179.2979136109352, First Return Dist: 7406704, First Return Amp: 5000, x: -7406.147935203362, y: 90.75739914172809
Angular: 182.88909345865247, First Return Dist: 7406704, First Return Amp: 5000, x: -7397.289854880077, y: -373.3188268816535
Angular: 186.48027330636978, First Return Dist: 7406704, First Return Amp: 5000, x: -7359.380880696195, y: -835.9289422309112
Angular: 190.0714531540871, First Return Dist: 7406704, First Return Amp: 5000, x: -7292.569890092916, y: -1295.2561683799097
Angular: 193.66263300180435, First Return Dist: 7406704, First Return Amp: 5000, x: -7197.119265514999, y: -1749.4966194791123
Angular: 197.25381284952164, First Return Dist: 7406704, First Return Amp: 5000, x: -7073.403863973317, y: -2196.866386638787
Angular: 200.84499269723892, First Return Dist: 7406704, First Return Amp: 5000, x: -6921.90954489336, y: -2635.608543758006
Angular: 204.4361725449562, First Return Dist: 7406704, First Return Amp: 5000, x: -6743.231262031226, y: -3064.000047385895
Angular: 208.0273523926735, First Return Dist: 7406704, First Return Amp: 5000, x: -6538.070726950535, y: -3480.3585035177794
Angular: 211.61853224039078, First Return Dist: 7406704, First Return Amp: 5000, x: -6307.233653236385, y: -3883.0487747514067
Angular: 215.20971208810803, First Return Dist: 7406704, First Return Amp: 5000, x: -6051.626592268967, y: -4270.489401855377
Angular: 218.80089193582535, First Return Dist: 7406704, First Return Amp: 5000, x: -5772.253372983443, y: -4641.158814530836
Angular: 222.39207178354266, First Return Dist: 7406704, First Return Amp: 5000, x: -5470.211159598088, y: -4993.601306975211
Angular: 225.98325163125992, First Return Dist: 7406704, First Return Amp: 5000, x: -5146.686142792825, y: -5326.432754780662
Angular: 229.5744314789772, First Return Dist: 7406704, First Return Amp: 5000, x: -4802.9488812599275, y: -5638.346050715583
Angular: 233.1656113266945, First Return Dist: 7406704, First Return Amp: 5000, x: -4440.349311921785, y: -5928.116238041537
Angular: 236.75679117441177, First Return Dist: 7406704, First Return Amp: 5000, x: -4060.3114484116877, y: -6194.605321205943
Angular: 240.34797102212906, First Return Dist: 7406704, First Return Amp: 5000, x: -3664.327788637984, y: -6436.766735017782
